"","label","X","SA.axis_rank","GAM.age.Fvalue","GAM.age.pvalue","GAM.age.AdjRsq","Anova.age.pvalue","age.onsetchange","age.peakchange","maxage.BNC.increase","age.maturation","significant","Anova.age.pvalue.fdr","significant.fdr"
"1","Networks_LH_VisCent_ExStr_1",1,21,1.37136747700802,0.25415623710378,0.000575471628154856,0.253759697536588,NA,NA,NA,NA,FALSE,0.285123255659088,0
"2","Networks_LH_VisCent_ExStr_2",2,28,4.69160311059083,0.00934033154803987,-0.00607988041046947,0.00917196898488472,14.4279731571189,22.5154940406198,NA,22.9999999,TRUE,0.0125643410751845,1
"3","Networks_LH_VisCent_Striate_1",3,2,9.24617865867386,0.000104155871974931,-0.0131915784042957,9.64796187897646e-05,8.16666666666667,8.6511725260469,NA,17.5586264023451,TRUE,0.000167790641373504,1
"4","Networks_LH_VisCent_ExStr_3",4,27,3.88561365090443,0.0207934669658357,0.0047725056021547,0.0205352253405694,8.16666666666667,8.42755443710218,15.5460636018425,15.5460636018425,TRUE,0.0270258692628656,1
"5","Networks_LH_VisCent_ExStr_4",5,57,15.1732294797027,4.69659836632719e-07,0.0225413552010251,2.57246871187002e-07,8.16666666666667,8.72571188902848,18.0058625802345,18.0058625802345,TRUE,5.59232328667396e-07,1
"6","Networks_LH_VisCent_ExStr_5",6,36,40.8604461789543,0,0.0604535338589407,1.79693902689589e-18,8.16666666666667,8.72571188902848,22.9999999,22.9999999,TRUE,1.08905395569448e-17,1
"7","Networks_LH_VisPeri_ExStrInf_1",7,39,18.4690572517914,0,0.0254902641825728,9.52774447459622e-09,11.7445560897822,22.7391121295645,22.9999999,22.9999999,TRUE,2.24182222931676e-08,1
"8","Networks_LH_VisPeri_ExStrInf_2",8,9,28.465245729719,0,0.0414842053956305,4.34210757341684e-13,8.16666666666667,21.6210216848409,22.9999999,22.9999999,TRUE,1.44736919113895e-12,1
"9","Networks_LH_VisPeri_ExStrInf_3",9,32,0.376559933130712,0.686298652554233,0.000934101030776624,0.686217980644993,NA,NA,NA,NA,FALSE,0.711106715694293,0
"10","Networks_LH_VisPeri_StriCal_1",10,8,1.2922447808799,0.275034721791247,0.000439428084094029,0.274653540533198,NA,NA,NA,NA,FALSE,0.306875464282903,0
"11","Networks_LH_VisPeri_ExStrSup_1",11,15,39.9818218646867,0,0.0587119316645054,4.32628334241044e-18,8.16666666666667,22.1055275442211,22.9999999,22.9999999,TRUE,2.47216190994882e-17,1
"12","Networks_LH_VisPeri_ExStrSup_2",12,10,47.7840843322398,0,0.0714898059036709,1.76862401972332e-21,8.16666666666667,8.61390284455612,22.9999999,22.9999999,TRUE,1.31009186646172e-20,1
